student_id,attendance_date,status
1,2024-01-20,Absent
10,2024-01-10,Present
100,2024-01-12,Absent
100,2024-01-14,Absent
101,2024-01-05,Late
102,2024-01-17,Absent
102,2024-01-23,Late
104,2024-01-12,Late
105,2024-01-27,Late
108,2024-01-21,Late
109,2024-01-03,Absent
109,2024-01-17,Absent
11,2024-01-11,Absent
11,2024-01-24,Absent
110,2024-01-06,Late
112,2024-01-09,Late
113,2024-01-02,Present
113,2024-01-15,Late
113,2024-01-29,Absent
114,2024-01-03,Late
114,2024-01-12,Absent
115,2024-01-08,Late
116,2024-01-06,Late
116,2024-01-29,Absent
118,2024-01-03,Present
119,2024-01-23,Absent
12,2024-01-14,Absent
12,2024-01-26,Present
121,2024-01-02,Late
121,2024-01-15,Late
121,2024-01-23,Present
122,2024-01-09,Present
123,2024-01-17,Absent
126,2024-01-07,Present
128,2024-01-12,Late
128,2024-01-17,Absent
128,2024-01-20,Late
129,2024-01-17,Absent
13,2024-01-28,Late
131,2024-01-08,Present
132,2024-01-13,Late
133,2024-01-12,Present
133,2024-01-28,Present
134,2024-01-20,Present
135,2024-01-02,Late
135,2024-01-03,Late
136,2024-01-12,Absent
136,2024-01-14,Present
14,2024-01-21,Absent
14,2024-01-26,Late
140,2024-01-17,Late
142,2024-01-01,Absent
142,2024-01-05,Late
144,2024-01-04,Absent
146,2024-01-02,Late
147,2024-01-12,Absent
147,2024-01-15,Absent
148,2024-01-08,Late
15,2024-01-03,Late
150,2024-01-22,Present
17,2024-01-18,Late
17,2024-01-23,Absent
18,2024-01-08,Late
18,2024-01-31,Late
19,2024-01-05,Absent
19,2024-01-15,Absent
2,2024-01-29,Present
20,2024-01-19,Present
22,2024-01-10,Late
22,2024-01-17,Absent
23,2024-01-03,Absent
24,2024-01-31,Present
25,2024-01-18,Late
26,2024-01-17,Late
27,2024-01-25,Late
32,2024-01-02,Present
33,2024-01-22,Late
34,2024-01-20,Absent
35,2024-01-28,Present
36,2024-01-02,Absent
36,2024-01-28,Absent
37,2024-01-10,Absent
37,2024-01-28,Late
38,2024-01-27,Absent
39,2024-01-11,Present
39,2024-01-18,Late
40,2024-01-03,Absent
40,2024-01-06,Present
40,2024-01-22,Absent
41,2024-01-23,Late
41,2024-01-31,Present
42,2024-01-27,Present
43,2024-01-24,Absent
45,2024-01-02,Present
45,2024-01-26,Absent
45,2024-01-27,Late
47,2024-01-18,Absent
47,2024-01-26,Present
47,2024-01-31,Present
48,2024-01-22,Late
49,2024-01-10,Absent
5,2024-01-09,Present
5,2024-01-12,Absent
5,2024-01-21,Late
50,2024-01-08,Present
50,2024-01-12,Late
52,2024-01-26,Present
55,2024-01-20,Absent
61,2024-01-13,Present
61,2024-01-15,Late
61,2024-01-26,Absent
62,2024-01-10,Absent
62,2024-01-19,Absent
64,2024-01-31,Present
67,2024-01-23,Absent
69,2024-01-26,Present
7,2024-01-12,Late
7,2024-01-14,Present
7,2024-01-24,Present
70,2024-01-15,Late
73,2024-01-03,Present
73,2024-01-25,Late
74,2024-01-08,Absent
75,2024-01-29,Absent
79,2024-01-15,Late
81,2024-01-21,Absent
82,2024-01-22,Absent
82,2024-01-30,Present
83,2024-01-04,Present
84,2024-01-22,Absent
85,2024-01-09,Present
86,2024-01-03,Absent
86,2024-01-05,Present
86,2024-01-26,Present
87,2024-01-06,Absent
87,2024-01-29,Late
88,2024-01-31,Absent
89,2024-01-08,Late
90,2024-01-10,Late
91,2024-01-18,Absent
94,2024-01-12,Absent
95,2024-01-12,Absent
95,2024-01-14,Absent
96,2024-01-08,Present
96,2024-01-18,Present
97,2024-01-21,Absent
99,2024-01-10,Absent
