student_id,subject_id,exam_id,marks
1,36,19,46
102,2,34,98
102,36,25,45
102,72,47,41
102,95,6,85
105,36,5,77
105,84,20,39
106,44,59,81
106,6,41,90
107,23,26,46
107,38,15,81
107,84,13,92
107,94,13,70
108,68,15,38
108,76,96,49
11,58,74,54
110,41,86,62
110,72,99,33
111,13,96,77
111,23,17,78
114,22,89,68
116,5,8,77
117,12,85,57
117,39,26,79
118,33,86,31
119,97,73,87
120,10,19,58
120,37,87,99
121,34,44,80
121,57,81,68
122,58,100,76
124,14,31,78
125,78,57,83
127,15,13,60
127,5,17,94
128,37,100,59
129,29,79,35
130,10,40,89
130,50,60,100
132,76,14,87
134,39,59,33
135,11,51,69
135,59,2,48
135,86,40,35
136,66,25,74
137,91,30,94
138,18,50,88
139,33,23,44
139,47,68,94
139,5,80,38
14,37,77,69
140,83,46,37
142,27,76,57
144,86,46,39
145,83,82,71
145,88,24,51
146,77,11,36
147,46,74,67
148,55,74,81
150,49,82,77
16,62,52,84
17,17,36,100
18,12,11,41
18,19,95,33
19,11,42,48
2,27,39,57
20,23,99,93
20,66,82,44
21,35,57,84
21,43,87,98
24,96,68,57
25,81,83,35
26,90,15,100
26,98,82,42
28,63,92,86
28,87,30,90
30,45,56,44
30,98,36,58
32,53,46,84
32,59,48,63
33,73,27,38
34,12,38,71
34,72,8,72
36,6,5,68
36,98,33,67
38,32,68,82
39,8,58,43
40,21,97,36
41,10,57,74
41,48,40,71
45,11,79,78
45,34,7,46
47,19,73,81
5,59,10,70
51,23,78,49
55,20,85,91
56,56,58,59
56,57,57,60
57,51,77,37
57,83,9,89
58,14,45,77
59,96,12,85
6,42,22,88
6,7,43,61
60,43,100,48
60,60,82,62
61,14,19,62
61,76,42,32
61,81,88,66
62,64,75,48
62,74,50,59
63,56,76,81
65,87,97,47
69,4,24,64
7,17,2,75
7,80,72,71
70,22,33,91
70,28,97,95
71,2,73,36
71,76,8,75
73,87,87,92
74,10,83,41
76,3,85,80
76,46,48,85
76,59,65,85
76,96,44,44
77,82,55,62
78,84,53,44
8,6,42,37
80,44,45,30
80,57,5,76
81,20,57,38
83,78,61,94
84,16,1,93
84,49,77,97
85,13,57,42
86,71,98,99
87,29,43,51
88,92,11,94
90,94,83,48
91,14,74,94
91,29,82,54
93,12,56,43
93,13,88,77
95,86,96,99
96,20,88,90
97,54,59,73
97,59,42,54
98,41,81,92
98,50,85,49
